66;40;90;45;13;10;3;48;16;34;72;10;40;33;69;14;88;78;44;83;97;45;93;82;46;32;46;55;34;95;69;71;69;42;85;50;68;16;68;73;5;24;4;85;57;32;21;93;99;93;30;31;42;86;96;71;52;3;62;78;43;86;49;94;54;7;3;98;24;28;63;85;9;63;58;18;20;37;23;64;
98;4;41;60;4;85;30;28;81;69;64;33;85;76;1;13;63;15;21;82;43;93;57;21;82;3;83;17;82;4;87;88;15;61;51;12;53;75;33;51;82;53;49;25;42;74;94;9;36;33;13;80;36;71;13;25;6;63;52;27;23;96;17;73;87;5;71;90;22;22;19;48;78;52;86;10;94;76;47;37;
6;29;97;15;69;69;76;100;18;24;16;55;99;57;97;0;81;85;74;3;3;96;34;2;7;97;24;58;98;93;46;16;13;69;37;63;60;32;24;86;84;85;73;70;64;18;34;82;24;3;2;26;80;3;18;62;68;60;54;80;52;19;62;92;55;49;87;80;53;80;64;27;36;89;64;9;89;96;100;72;
6;14;27;87;58;70;71;73;17;52;39;69;79;36;53;63;84;68;79;22;71;38;60;31;26;9;11;84;56;42;77;41;99;79;32;30;28;33;53;59;55;37;90;81;32;56;88;47;75;13;66;94;1;97;3;16;24;33;53;11;53;93;22;11;88;68;23;15;84;15;9;58;67;66;68;35;29;8;23;100;
92;45;26;62;79;23;33;55;99;6;9;82;38;75;43;71;41;52;61;52;7;13;28;68;4;93;43;77;33;79;82;25;95;11;27;68;12;7;96;24;89;10;22;15;70;96;15;7;94;32;58;15;72;67;37;79;17;3;4;56;54;77;36;65;4;65;43;21;27;57;77;93;68;82;31;73;73;16;95;57;
26;34;66;67;30;42;58;40;5;50;100;69;65;31;19;7;98;85;43;5;95;73;45;29;55;28;17;89;46;10;86;6;85;47;15;57;40;64;20;81;15;61;15;64;90;90;6;18;41;60;50;34;7;90;50;93;0;23;85;14;81;13;65;67;7;41;2;11;72;73;47;76;52;23;100;81;62;65;73;69;
58;11;34;37;64;6;89;34;88;60;91;61;32;65;98;14;25;97;9;81;89;72;27;71;96;86;43;93;82;31;81;0;41;84;64;88;32;86;36;77;69;61;14;17;18;16;70;7;91;14;50;24;91;14;98;82;1;6;53;6;14;3;100;83;68;14;52;28;49;27;55;88;82;22;58;37;2;91;54;69;
2;48;17;61;21;80;19;97;69;86;52;66;22;51;18;21;86;7;28;93;96;16;3;38;82;62;5;65;84;19;42;48;48;73;27;75;80;87;14;87;3;49;34;66;0;13;3;45;19;11;81;40;75;12;19;75;84;27;16;6;88;79;74;63;37;95;42;56;21;7;46;63;42;32;75;32;68;87;56;16;
55;79;32;0;15;93;5;28;75;36;56;20;28;12;10;23;22;54;99;73;77;95;3;85;16;29;29;34;51;62;91;42;77;91;23;35;28;37;100;15;0;12;87;6;51;14;9;60;15;18;22;41;53;45;93;10;28;5;31;19;4;86;45;99;61;69;62;48;86;94;85;76;59;50;40;61;70;50;15;39;
99;27;78;23;77;20;83;20;60;10;88;53;15;95;0;14;68;98;21;11;36;23;72;76;70;83;32;94;1;21;83;21;69;56;79;14;49;42;75;52;15;3;97;70;78;83;61;56;39;55;51;94;40;99;16;61;79;76;92;12;91;35;28;0;3;45;77;99;72;25;22;40;72;29;91;95;26;48;62;37;
46;91;96;8;15;46;4;100;86;98;77;70;20;8;63;82;75;41;37;38;96;24;65;61;78;2;71;40;91;22;52;73;46;8;51;72;72;0;4;97;40;46;4;76;5;53;96;42;84;49;17;41;83;86;98;100;54;47;45;44;41;6;51;44;68;89;98;40;69;45;94;15;10;89;13;86;80;21;46;1;
81;13;90;42;11;23;67;8;26;57;66;58;47;45;33;4;15;11;36;0;35;0;16;81;16;54;48;76;19;32;76;62;87;54;39;2;3;75;91;41;32;69;87;81;18;28;46;65;29;33;40;93;55;0;36;24;98;11;3;95;71;9;87;55;1;46;82;75;25;75;51;77;98;2;42;51;59;34;40;57;
99;75;100;27;19;6;0;2;19;94;64;91;30;30;93;78;11;30;94;64;24;69;84;7;33;58;49;32;56;46;73;11;24;43;43;35;62;65;78;13;61;65;26;4;87;90;72;77;40;87;78;47;41;72;16;89;51;81;8;46;24;78;69;70;26;15;62;22;15;52;88;64;20;35;73;25;61;91;50;7;
79;19;7;1;60;91;79;11;100;36;30;45;82;56;59;17;79;20;37;92;58;30;66;92;19;12;23;85;71;30;73;20;53;22;54;63;98;0;47;99;26;75;24;70;66;14;70;34;9;71;76;43;96;1;34;10;30;73;96;68;14;91;9;19;36;85;92;38;52;9;41;86;40;65;92;29;50;83;3;17;
100;19;30;95;82;19;28;96;62;41;39;26;28;18;17;10;21;54;47;40;56;93;89;39;11;18;55;10;14;70;40;27;32;40;28;17;75;32;39;33;9;15;76;31;0;38;81;92;26;99;28;26;54;0;80;77;69;25;68;97;26;72;81;23;68;9;26;84;19;44;13;17;53;12;18;95;74;67;44;95;
28;60;9;22;7;28;69;98;24;62;72;71;98;52;45;8;51;59;4;62;90;93;29;74;8;73;41;10;100;13;12;33;31;49;45;27;7;81;99;79;14;40;83;100;67;91;66;32;93;68;84;9;46;57;2;33;77;48;35;25;17;36;5;59;94;69;50;11;75;17;38;60;54;11;93;63;15;39;35;56;
47;25;33;83;42;12;98;87;8;14;50;38;96;1;93;48;35;44;61;16;31;83;84;8;88;98;74;79;22;0;7;18;9;15;27;59;89;12;10;81;65;56;68;46;78;21;66;27;28;33;18;31;11;27;16;23;91;51;7;55;71;52;39;25;27;94;33;56;48;21;67;13;40;95;44;19;24;22;65;41;
11;63;82;25;100;82;89;94;83;62;85;50;49;98;55;6;66;65;100;71;96;83;77;78;35;16;53;87;45;79;15;96;97;20;19;34;85;90;52;53;51;79;60;90;6;75;21;26;57;29;90;50;88;73;9;31;74;93;3;44;78;88;60;10;73;46;92;25;21;80;64;45;21;18;17;52;22;100;47;69;
46;90;85;73;67;95;33;65;66;16;66;18;37;41;82;0;59;39;19;75;2;30;15;91;67;80;14;21;93;73;92;53;38;47;31;55;35;79;25;40;9;67;0;48;89;83;61;20;97;66;81;31;93;92;92;51;31;19;75;32;12;36;42;70;95;76;94;92;97;25;44;91;37;86;0;5;4;91;98;91;
66;54;91;68;58;20;18;24;47;76;65;85;17;56;50;23;61;10;61;98;32;63;72;42;79;73;81;12;81;8;57;45;66;0;92;52;17;51;50;57;26;92;66;34;82;70;3;44;85;2;63;25;33;72;26;10;7;61;56;94;58;85;70;74;60;64;41;65;12;49;71;94;18;28;8;15;55;60;72;86;
73;74;69;98;52;45;4;8;6;97;83;11;33;13;82;83;9;10;33;6;69;49;43;64;52;11;42;27;69;51;16;73;21;53;51;36;99;80;34;94;95;6;90;59;43;1;87;83;9;79;67;60;78;13;80;76;67;61;48;9;59;26;53;86;10;11;15;53;12;47;38;54;52;14;43;25;82;2;71;40;
51;38;66;49;75;45;67;35;100;24;89;56;19;24;34;14;17;73;6;53;90;8;79;50;36;22;58;6;40;7;91;43;34;12;83;51;71;88;89;99;39;12;50;65;64;93;54;62;81;64;28;15;4;1;44;77;49;14;46;89;32;6;49;77;22;23;76;3;60;46;76;72;29;29;69;98;47;75;37;5;
